Astrobase Space	KEKA	astpl	NEW
Ninjacart	DARWINBOX	ninjacart	NEW
MyGate	DARWINBOX	mygate	NEW
BharatX	WORKABLE	bharatx	NEW
Inito	KEKA	inito	KNOWN
Intugine Technologies	FRESHTEAM	intugine	NEW
LeadSquared	DARWINBOX	leadsquaredhrms	NEW
Airbus India	WORKDAY	ag/wd3/Airbus	KNOWN
Allegion India	WORKDAY	allegion/wd5/careers	NEW
CleverTap	DARWINBOX	clevertap	NEW
Western Digital India	SMARTRECRUITERS	WesternDigital	NEW
Nurix AI	KEKA	nurix	NEW
LKQ India	WORKDAY	lkqcorp/wd5/ExternalCareerSite-LKQ	NEW
Velocity	FRESHTEAM	velocity	NEW
Tesco Bengaluru	SMARTRECRUITERS	TescoBengaluru	NEW
Composio	ASHBY	composio	NEW
Pixxel	DARWINBOX	pixxel	NEW
Rapido	DARWINBOX	rapido	NEW
Duroflex	DARWINBOX	duroflex	NEW
Innoviti	DARWINBOX	myinnoviti	NEW
ClearTax	DARWINBOX	clear	NEW
Dozee	LEVER	dozee	NEW
Unacademy	DARWINBOX	unacademy	NEW
Altigreen	DARWINBOX	altigreen	NEW
Bosch Global Software Technologies	SMARTRECRUITERS	BoschGroup	KNOWN
Razorpay	GREENHOUSE	razorpaysoftwareprivatelimited	KNOWN
