Astrobase Space	astrobase.in
Ninjacart	ninjacart.com
MyGate	mygate.com
BharatX	bharatx.tech
Inito	inito.com
Intugine Technologies	intugine.com
LeadSquared	leadsquared.com
Airbus India	airbus.com
Allegion India	allegion.com
CleverTap	clevertap.com
Western Digital India	westerndigital.com
Nurix AI	nurix.ai
LKQ India	lkqcorp.com
Velocity	velocity.in
Tesco Bengaluru	tescobengaluru.com
Composio	composio.dev
Pixxel	pixxel.space
Rapido	rapido.bike
Duroflex	duroflexworld.com
Innoviti	innoviti.com
ClearTax	cleartax.in
Dozee	dozee.io
Unacademy	unacademy.com
Altigreen	altigreen.com
Bosch Global Software Technologies	bosch-softwaretechnologies.com
Razorpay	razorpay.com
