# Bangalore-headquartered companies — pilot seed (CANDIDATE WORKLIST ONLY).
#
# PROVENANCE: widely-reported public facts about where these companies are
# headquartered, each verifiable on the company's own site. This is deliberately
# NOT a copy of anyone's curated directory — the Bangalore Startup Map is one
# person's curation and her stated next feature is a job board, so lifting it
# would be taking both her work and her roadmap. If we ever want her list, the
# move is to ask.
#
# Nothing here is treated as fact by the pilot. Every claim — career page, ATS,
# board identity — is re-derived from the company's own website, so the output
# is our own verified fact set rather than a redistribution of this file.
#
# Format: Company Name<TAB>domain
Flipkart	flipkart.com
Swiggy	swiggy.com
Razorpay	razorpay.com
Meesho	meesho.com
Zerodha	zerodha.com
PhonePe	phonepe.com
Groww	groww.in
Udaan	udaan.com
BigBasket	bigbasket.com
Ola	olacabs.com
CRED	cred.club
Unacademy	unacademy.com
Postman	postman.com
BrowserStack	browserstack.com
Hasura	hasura.io
Zeta	zeta.tech
Slice	sliceit.com
Jupiter	jupiter.money
Khatabook	khatabook.com
Vedantu	vedantu.com
Simpl	getsimpl.com
Rupeek	rupeek.com
ShareChat	sharechat.com
Practo	practo.com
MyGate	mygate.com
Yulu	yulu.bike
Ather Energy	atherenergy.com
BlueStone	bluestone.com
Licious	licious.in
Wakefit	wakefit.co
Cult.fit	cult.fit
HealthifyMe	healthifyme.com
Netradyne	netradyne.com
Whatfix	whatfix.com
MoEngage	moengage.com
Yellow.ai	yellow.ai
Innovaccer	innovaccer.com
Sprinto	sprinto.com
Atlan	atlan.com
Fi Money	fi.money
Jar	myjar.app
Pixxel	pixxel.space
Zetwerk	zetwerk.com
Ninjacart	ninjacart.com
Jumbotail	jumbotail.com
Vahan	vahan.co
FamPay	famapp.in
Setu	setu.co
Signzy	signzy.com
Chargebee	chargebee.com
